,Level 1 F1 Score (Micro),Level 2 F1 Score (Micro),Level 3 F1 Score (Micro),Level 4 F1 Score (Micro),Global F1 Score (Micro),Level 1 F1 Score (Macro),Level 2 F1 Score (Macro),Level 3 F1 Score (Macro),Level 4 F1 Score (Macro),Global F1 Score (Macro)
0,0.9859,0.9892,0.9625,0.9734,0.9465,0.8227,0.939,0.8847,0.8889,0.8504
1,0.9859,0.9892,0.9625,0.9734,0.9465,0.8227,0.939,0.8847,0.8889,0.8504
2,0.9856,0.9891,0.9628,0.9714,0.9458,0.8226,0.9383,0.8942,0.8802,0.841
3,0.9856,0.9891,0.9628,0.9714,0.9458,0.8226,0.9383,0.8942,0.8802,0.841
4,0.9861,0.9888,0.9543,0.9706,0.9374,0.8222,0.9444,0.8737,0.8569,0.8232
5,0.9861,0.9888,0.9543,0.9706,0.9374,0.8222,0.9444,0.8737,0.8569,0.8232
6,0.9868,0.9909,0.9686,0.9748,0.9541,0.8607,0.9498,0.8904,0.8731,0.8603
7,0.9868,0.9909,0.9686,0.9748,0.9541,0.8607,0.9498,0.8904,0.8731,0.8603
8,0.8762,0.7506,0.6511,0.7882,0.4432,0.484,0.4032,0.3661,0.3487,0.296
9,0.8762,0.7506,0.6511,0.7882,0.4432,0.484,0.4032,0.3661,0.3487,0.296
10,0.8347,0.7741,0.6727,0.792,0.5219,0.3496,0.4802,0.3862,0.3514,0.3331
11,0.8347,0.7741,0.6727,0.792,0.5219,0.3496,0.4802,0.3862,0.3514,0.3331
12,0.9859,0.9892,0.9625,0.9734,0.9465,0.8227,0.939,0.8847,0.8889,0.8504
13,0.9859,0.9892,0.9625,0.9734,0.9465,0.8227,0.939,0.8847,0.8889,0.8504
14,0.9879,0.9916,0.9703,0.9767,0.9582,0.9012,0.978,0.9346,0.9225,0.8985
15,0.9879,0.9916,0.9703,0.9767,0.9582,0.9012,0.978,0.9346,0.9225,0.8985
16,0.9861,0.9888,0.9543,0.9706,0.9374,0.8222,0.9444,0.8737,0.8569,0.8232
17,0.9861,0.9888,0.9543,0.9706,0.9374,0.8222,0.9444,0.8737,0.8569,0.8232
18,0.9868,0.9909,0.9686,0.9748,0.9541,0.8607,0.9498,0.8904,0.8731,0.8603
19,0.9868,0.9909,0.9686,0.9748,0.9541,0.8607,0.9498,0.8904,0.8731,0.8603
20,0.8762,0.7506,0.6511,0.7882,0.4432,0.484,0.4032,0.3661,0.3487,0.296
21,0.8762,0.7506,0.6511,0.7882,0.4432,0.484,0.4032,0.3661,0.3487,0.296
22,0.8347,0.7741,0.6727,0.792,0.5219,0.3496,0.4802,0.3862,0.3514,0.3331
23,0.8347,0.7741,0.6727,0.792,0.5219,0.3496,0.4802,0.3862,0.3514,0.3331
